store-name,distance,address,pin-code,phone-number,timings,website-link,latitudes,longitudes,
 Burger King ," 0.9 KM from Delhi, India  ",Commercial Site New Delhi Railway StationNew Delhi - 110006,New Delhi - 110006,+918587800412,Open until 11:00 PM,http://stores.burgerking.in/burger-king-fast-food-restaurant-new-delhi-railway-station-new-delhi-187168/Home,28.6431892,77.221436,
 Burger King ,"1.0 KM from Delhi, India ","Shop No 5, Ground Floor Kashmiri Gate New Delhi - 110006 Near Metro Station",New Delhi - 110006,+918655876391,Open until 11:59 PM,http://stores.burgerking.in/burger-king-fast-food-restaurant-kashmiri-gate-new-delhi-233198/Home,28.646146,77.229942,
 Burger King ,"1.6 KM from Delhi, India ","Shop No KGR 01, Kiosk 1, Lothian Road Kashmeri Gate New Delhi - 110075",New Delhi - 110075,+917208074350,Open until 11:59 PM,http://stores.burgerking.in/burger-king-fast-food-restaurant-kashmeri-gate-new-delhi-179190/Home,28.6655733,77.2273883,
 Burger King ,"2.1 KM from Delhi, India ","No E8, Ground & Mezzanine Floor, Rajiv Chowk, Inner Circle Connaught Place New Delhi - 110001",New Delhi - 110001,+911143509889,Open until 11:00 PM,http://stores.burgerking.in/burger-king-fast-food-restaurant-connaught-place-new-delhi-179257/Home,28.632868,77.221356,
 Burger King ,"2.1 KM from Delhi, India ","Shop No RCK01, Kiosk 01 Rajiv Chowk New Delhi - 110001",New Delhi - 110001,+919324913545,Open until 11:00 PM,http://stores.burgerking.in/burger-king-fast-food-restaurant-rajiv-chowk-new-delhi-179329/Home,28.6327772,77.2215474,
 Burger King ," 3.0 KM from Delhi, India ","No 13/30, Ajmal Khan Road Karol Bagh New Delhi - 110005",New Delhi - 110005,+911149045132,Open until 11:00 PM,http://stores.burgerking.in/burger-king-fast-food-restaurant-karol-bagh-new-delhi-179260/Home,28.6487284,77.1908881,
